Processor Pool Total:  156034848 Used:   19751648 Free:  136283200
      I/O Pool Total:   12582912 Used:    4124704 Free:    8458208

 PID TTY  Allocated      Freed    Holding    Getbufs    Retbufs Process
   0   0   37988224   14796336   19309988          0          0 *Init*          
 230   0     343664       5184     325048          0          0 VLAN Manager    
  25   0     264484          0     273864     113400          0 EEM ED Syslog   
 103   0     270800       1052     272420          0          0 EAPoUDP Process 
 196   0     247992          0     255060          0          0 QOS_MODULE_MAIN 
 232   0     198804      12852     205260          0          0 EEM Server      
   1   0     154612          0     161680          0          0 Chunk Manager   
   4   0      65588          0      90656          0          0 EDDRI_MAIN      
 207   0      66852          0      79920          0          0 Crypto IKEv2    
 209   0      77360      11072      78824          0          0 IPSEC key engine
 113   0      75616       2384      73792          0          0 CEF process     
 177   0      66616        252      73432          0          0 TPLUS           
 160   0      66440        252      73256          0          0 HTTP Process    
 211   0      45468       3216      67320          0          0 Crypto ACL      
  59   0      57904        252      64720          0          0 VNM DSPRM MAIN  
 194   0        940          0      62008          0          0 http client proc
  86   0      49384          0      56452          0          0 IP ARP Retry Age
  82   0      49384          0      56452          0          0 ACCT Periodic Pr
  94  98     108664      71392      48368          0          0 SSH Process     
  17   0      40832        728      47172          0          0 ARP Input       
 165   0      27084        252      33900          0          0 CCVPM_HDSPRM    
 157   0      16812        252      29628          0          0 IPS Auto Update 
 127   0      18944        252      25760          0          0 SCTP Main Proces
 197   0        284          0      25352          0          0 RPMS_PROC_MAIN  
   0   0     395880    2090528      25088     176300          0 *Dead*          
  66   0          0          0      25068          0          0 RF_INTERDEV_SCTP
  73   0          0          0      25068          0          0 CF_INTERDEV_SCTP
 198   0          0          0      25068          0          0 VoIP AAA        
 117   0          0          0      25068          0          0 COPS            
   9   0          0          0      25068          0          0 Crash writer    
 183   0      13912          0      23980          0          0 CCVPM_HTSP      
 206   0       6880        252      19696          0          0 Crypto IKMP     
 162   0      12592        252      19408          0          0 CIFS Proxy Proce
  53   0      11688          0      18756          0          0 mxt5100         
 185   0      10488          0      17556          0          0 CCVPM_R2        
 164   0      10052          0      17120          0          0 Crypto HW Proc  
 200   0       4696        864      16900          0          0 Crypto CA       
 241   0      10020        912      16176          0          0 EEM Policy Direc
 251   0      15988          0      15776          0          0 SSH Event handle
 189   0       8244          0      15312          0          0 Skinny HW confer
 116   0      74480          0      14892          0          0 TCP Protocols   
 199   0      16456       8576      14800          0          0 crypto engine pr
  36   0      22784        152      14496          0          0 Net Background  
  87   0       6860       2744      14440          0          0 IP Input        
 139   0       3884          0      13952          0          0 HTTP CORE       
  37   0        712        456      13324          0          0 IDB Work        
  99   0        504        252      13320          0          0 Spanning Tree   
  84   0       6272        252      13088          0          0 CDP Protocol    
  38   0        252        252      13068          0          0 Logger          
 242   0       4284       4284      13068          0          0 Syslog          
 115   0          0          0      13068          0          0 TCP Timer       
 149   0          0          0      13068          0          0 VPDN call manage
 101   0        252        252      13068          0          0 SSM connection m
  69   0          0          0      13068          0          0 AAL2CPS TIMER_CU
 138   0        252        252      13068          0          0 ATM OAM TIMER   
 137   0        252        252      13068          0          0 ATM OAM Input   
  54   0          0          0      13068          0          0 sal_dpc_process 
  32   0        252        252      13068          0          0 Dialer event    
 144   0        252        252      13068          0          0 X.25 Background 
 109   0        252        252      13068          0          0 PPP IPCP        
 108   0        252        252      13068          0          0 PPP IP Route    
 205   0        252        716      13068          0          0 Crypto IKE Dispa
 156   0          0          0      13068          0          0 IPS Process     
   8   0          0          0      13068          0          0 OIR Handler     
  34   0        252        252      13068          0          0 XML Proxy Client
 203   0          0          0      13068          0          0 encrypt proc    
  93   0        504        504      13068          0          0 PPP Hooks       
 105   0        252        252      13068          0          0 KRB5 AAA        
  22   0          0          0      13068          0          0 Policy Manager  
 125   0          0          0      13068          0          0 L2X Data Daemon 
  96   0          0          0      13068          0          0 SSS Test Client 
  95   0          0          0      13068          0          0 SSS Manager     
  92   0       5652        252      12468       2268          0 MOP Protocols   
 180   0       5304        252      12120          0          0 Crypto Support  
   0   0      12052     145152      12052          0          0 *Sched*         
 229   0       4660          0      11728          0          0 trunk conditioni
  24   0       3856          0      10924          0          0 Entity MIB API  
 222   0        868          0      10324          0          0 EEM ED Resource 
 107   0        224          0      10292          0          0 IP RIB Update   
   5   0       3404        304      10228          0          0 Check heaps     
 106   0         76          0      10144          0          0 IP Background   
 234   0       1224          0      10068          0          0 EEM ED Counter  
 237   0       1224          0      10068          0          0 EEM ED None     
 238   0       1224          0      10068          0          0 EEM ED OIR      
 223   0       1224          0      10068          0          0 EEM ED Track    
 239   0       1224          0      10068          0          0 EEM ED SNMP     
 240   0       1224          0      10068          0          0 EEM ED Timer    
 236   0       1224          0      10068          0          0 EEM ED IOSWD    
 233   0       1224          0      10068          0          0 EEM ED CLI      
 235   0       1224          0      10068          0          0 EEM ED Interface
  40   0          0          0      10068          0          0 Per-Second Jobs 
 135   0        252        252      10068          0          0 Adj Manager     
 132   0          0          0      10068          0          0 CES Client SVC R
 104   0        252        252      10068          0          0 IP Host Track Pr
  77   0       2500        252       9316          0          0 DTP Protocol    
 179   0        440        252       9256          0          0 Crypto WUI      
 213   0          0          0       9068          0          0 Key Proc        
 201   0          0          0       9068          0          0 Crypto PKI-CRL  
 202   0          0          0       9068          0          0 Crypto SSL      
 151   0     979584     986128       8324          0          0 crypto sw pk pro
  45   0      22404          0       8148          0          0 rf task         
  85   0       1072          0       8140          0          0 IP ARP Adjacency
 163   0       1192        252       8008          0          0 URL filter proc 
  15   0        744          0       7812          0          0 IPC Seat Manager
 121   0        732        160       7800          0          0 L2MM            
 192   0        336          0       7404          0          0 CCSWVOICE       
 119   0        504        252       7320          0          0 Dot1x Supplicant
 120   0        504        252       7320          0          0 Dot1x Supplicant
 118   0        504        252       7320          0          0 Dot1x Supplicant
  42   0        252          0       7320          0          0 CEF Scanner     
 219   0        224          0       7292          0          0 DATA Transfer Pr
 220   0        224          0       7292          0          0 DATA Collector  
 158   0        388        252       7204          0          0 SDEE Management 
 123   0          0          0       7140          0          0 IGMPSN          
 186   0          0          0       7140          0          0 EPHONE MWI Refre
  67   0          0          0       7128          0          0 cpf_process_msg_
   3   0          0          0       7128          0          0 chkpt message ha
  28   0          0          0       7068          0          0 RO Notify Timers
 114   0          0          0       7068          0          0 Socket Timers   
 111   0          0          0       7068          0          0 SNMP Timers     
 112   0          0          0       7068          0          0 Asy FS Helper   
 102   0          0          0       7068          0          0 AC Switch       
 110   0          0          0       7068          0          0 IP Traceroute   
  27   0        252        252       7068          0          0 Serial Backgroun
 100   0          0          0       7068          0          0 X.25 Encaps Mana
  26   0          0          0       7068          0          0 HC Counter Timer
 124   0        252        252       7068          0          0 RLM groups Proce
  97   0          0          0       7068          0          0 SSS Feature Mana
 126   0        252        252       7068          0          0 PPPoE Flow Contr
  30   0        252        252       7068          0          0 SMART           
 128   0          0          0       7068          0          0 IUA Main Process
  98   0          0          0       7068          0          0 SSS Feature Time
 122   0          0          0       7068          0          0 MRD             
 131   0          0          0       7068          0          0 bsm_xmt_proc    
  91   0          0          0       7068          0          0 IPv6 RIB Redistr
 129   0        252        252       7068          0          0 RUDPV1 Main Proc
 134   0          0          0       7068          0          0 IP Cache Ager   
  90   0        252        252       7068          0          0 TurboACL chunk  
 136   0        252        252       7068          0          0 Flow Exporter Ti
  89   0        252        252       7068          0          0 TurboACL        
  88   0          0          0       7068          0          0 ICMP event handl
  31   0        252        252       7068          0          0 GraphIt         
 140   0          0          0       7068          0          0 RARP Input      
 141   0          0          0       7068          0          0 IPv6 Inspect Tim
  83   0        252        252       7068          0          0 AAA Dictionary R
 143   0          0          0       7068          0          0 PAD InCall      
  81   0          0          0       7068          0          0 AAA ACCT Proc   
 145   0        252        252       7068          0          0 PPP Bind        
 130   0          0          0       7068          0          0 bsm_timers      
 147   0          0          0       7068          0          0 MQC Flow Event B
 148   0        252        252       7068          0          0 RBSCP Background
 133   0        252        252       7068          0          0 Dialer Forwarder
 150   0        252        252       7068          0          0 Inspect process 
  79   0        252        252       7068          0          0 EtherChnl       
 152   0          0          0       7068          0          0 Authentication P
