Processor Pool Total:  156034848 Used:   19801172 Free:  136233676
      I/O Pool Total:   12582912 Used:    4124704 Free:    8458208

 PID TTY  Allocated      Freed    Holding    Getbufs    Retbufs Process
   0   0   37447888   14277484   19258420          0          0 *Init*          
 230   0     343968       5184     325200          0          0 VLAN Manager    
  25   0     264484          0     273864     113400          0 EEM ED Syslog   
 103   0     272040       2252     272420          0          0 EAPoUDP Process 
 196   0     247992          0     255060          0          0 QOS_MODULE_MAIN 
   1   0     168832          0     175900          0          0 Chunk Manager   
 232   0     114240       7344     120696          0          0 EEM Server      
 177   0     112092        252     118908          0          0 TPLUS           
   4   0      65588          0      90656          0          0 EDDRI_MAIN      
 209   0      83952      41408      83480          0          0 IPSEC key engine
 207   0      66852          0      79920          0          0 Crypto IKEv2    
 113   0      74576          0      74576          0          0 CEF process     
 160   0      66436        252      73252          0          0 HTTP Process    
 211   0      45284       3200      67152          0          0 Crypto ACL      
  59   0      57904        252      64720          0          0 VNM DSPRM MAIN  
 194   0        940          0      62008          0          0 http client proc
  86   0      49384          0      56452          0          0 IP ARP Retry Age
  82   0      49384          0      56452          0          0 ACCT Periodic Pr
 252   0   14780968   14753512      51092          0          0 crypto sw pk pro
   0   0   24644540   26292364      50332     196712          0 *Dead*          
  17   0      41376       1272      47172          0          0 ARP Input       
 170  98     106536      71048      46584          0          0 SSH Process     
  18   0      35752       3596      39224          0          0 ARP Background  
 165   0      27084        252      33900          0          0 CCVPM_HDSPRM    
 157   0      16812        252      29628          0          0 IPS Auto Update 
 127   0      18944        252      25760          0          0 SCTP Main Proces
 197   0        284          0      25352          0          0 RPMS_PROC_MAIN  
  73   0          0          0      25068          0          0 CF_INTERDEV_SCTP
 117   0          0          0      25068          0          0 COPS            
 198   0          0          0      25068          0          0 VoIP AAA        
  66   0          0          0      25068          0          0 RF_INTERDEV_SCTP
   9   0          0          0      25068          0          0 Crash writer    
 183   0      13912          0      23980          0          0 CCVPM_HTSP      
 199   0      36520      11864      22152          0          0 crypto engine pr
  94   0    4224268    4214184      21396          0          0 Exec            
 206   0       6872        252      19688          0          0 Crypto IKMP     
 162   0      12592        252      19408          0          0 CIFS Proxy Proce
  53   0      11688          0      18756          0          0 mxt5100         
 185   0      10488          0      17556          0          0 CCVPM_R2        
 164   0      10052          0      17120          0          0 Crypto HW Proc  
 241   0      10020        912      16176          0          0 EEM Policy Direc
 151   0      11832          0      15452          0          0 SSH Event handle
 189   0       8244          0      15312          0          0 Skinny HW confer
 116   0     312324          0      14804          0          0 TCP Protocols   
 200   0       2524        832      14760          0          0 Crypto CA       
  87   0      28812      15092      14440          0          0 IP Input        
  36   0      22988        464      14388          0          0 Net Background  
 139   0       3788          0      13856          0          0 HTTP CORE       
  37   0        712        456      13324          0          0 IDB Work        
  99   0        480        252      13296          0          0 Spanning Tree   
  84   0       7020        856      13232          0          0 CDP Protocol    
  32   0        252        252      13068          0          0 Dialer event    
  34   0        252        252      13068          0          0 XML Proxy Client
 203   0          0          0      13068          0          0 encrypt proc    
  38   0        252        252      13068          0          0 Logger          
  22   0          0          0      13068          0          0 Policy Manager  
  54   0          0          0      13068          0          0 sal_dpc_process 
 242   0      13348      13348      13068          0          0 Syslog          
 205   0        252        716      13068          0          0 Crypto IKE Dispa
 115   0          0          0      13068          0          0 TCP Timer       
 101   0        252        252      13068          0          0 SSM connection m
 125   0          0          0      13068          0          0 L2X Data Daemon 
  96   0          0          0      13068          0          0 SSS Test Client 
 109   0        252        252      13068          0          0 PPP IPCP        
  95   0          0          0      13068          0          0 SSS Manager     
  93   0        504        504      13068          0          0 PPP Hooks       
 108   0        252        252      13068          0          0 PPP IP Route    
 137   0        252        252      13068          0          0 ATM OAM Input   
 138   0        252        252      13068          0          0 ATM OAM TIMER   
 144   0        252        252      13068          0          0 X.25 Background 
   8   0          0          0      13068          0          0 OIR Handler     
  69   0          0          0      13068          0          0 AAL2CPS TIMER_CU
 149   0          0          0      13068          0          0 VPDN call manage
 156   0          0          0      13068          0          0 IPS Process     
 105   0        252        252      13068          0          0 KRB5 AAA        
 180   0       5304        252      12120          0          0 Crypto Support  
   0   0      12052     349436      12052          0          0 *Sched*         
 229   0       4660          0      11728          0          0 trunk conditioni
  24   0       3736          0      10804          0          0 Entity MIB API  
 222   0        868          0      10324          0          0 EEM ED Resource 
